labels,text
ar,سفارة أذربيجان في الإمارات العربية المتحدة هي أرفع تمثيل دبلوماسي لدولة أذربيجان لدى الإمارات العربية المتحدة . تقع السفارة في وهي تهدف لتعزيز المصالح الأذربيجانية في الإمارات العربية المتحدة .
tr,2019
de,Film- und Theaterschauspiel und pflegte eine
es,"La Real Fortaleza de Santiago de Arroyo de Araya, más conocido como el Castillo de Araya, es una fortaleza de origen español del siglo XVIII, situada en Araya, en el estado Sucre, Venezuela."
ru,Буквальный перевод названия фильма — «Они умерли в сапогах» — в значении: они исполняли свой долг до самого конца.
ko,《Birth of the Cool》 세션 이후 편곡자 길 에번스와의 데이비스의 첫 번째 공동 작업이었다.
en,"It follows a central hall floor plan with two rectangular projecting bays, a three-sided bay window, a kitchen addition on the back, and a hipped roof with intersecting gable sections."
vi,Họ Loa kèn đỏ.
vi,Thể thao Đông Á 1997.
tr,"Rosdorf Almanya'nın kuzeyinde Schleswig-Holstein eyaletinde, Steinburg iline bağlı yerleşim yeri."
ru,"«Roewe» — автомобильная марка, созданная китайским автопроизводителем SAIC Motor в 2006 году и специализирующийся на автомобилях класса люкс."
pt,Trochomorpha conoides é uma espécie de gastrópode da família Zonitidae.
vi,"Lê Giang là một nữ danh hài, nghệ sĩ cải lương, diễn viên kịch nói và diễn viên điện ảnh người Việt Nam."
pt,Em 2010 a comuna tinha 254 habitantes.
ko,한강 해전은 1951년 9월 28일부터 9월 30일까지 이어진 한국 전쟁의 해전이었다.
vi,Chín loài của chi Scadoxus trước đây được xem là thuộc chi Huyết hoa (Haemanthus).
it,Candillargues è un comune francese di 1.292 abitanti situato nel dipartimento dell'Hérault nella regione dell'Occitania.
ko,빌뇌브(프랑스어:
de,Wasserfall Vaioaga wird meist ebenfalls der Kaskade zugeordnet.
ru,"Многие виды встречаются в грибах и навозе, также известны мирмекофилы и термитофилы."
zh,香港黑警（英語：），另亦常以粵語同音字借代為克警（為香港人對警方經常自稱在行動中「克制容忍」之譏諷）
es,"The Killing of a Sacred Deer es una película de thriller psicológico de 2017, dirigida por el griego Yorgos Lanthimos."
fr,Il est considéré comme l’un des plus anciens témoignages de la langue germanique.
tr,"İsmail Omar Guelleh ), Cibutili siyasetçi."
it,"Le Lycaeninae Leach, 1815 sono una sottofamiglia di lepidotteri appartenente alla famiglia Lycaenidae, presente in tutti i continenti tranne il Sudamerica."
en,"Dhad is a gram panchayat village in Buldana Taluka in Buldhana District of Maharashtra State, India."
vi,đến nay.
es,"La película está protagonizada por Colin Farrell, Nicole Kidman y Barry Keoghan."
es,"Oryzopsis es un género de plantas herbáceas, perteneciente a la familia de las poáceas."
tr,John Herschel tarafından 7 Haziran 1837 tarihinde keşfedildi.
vi,"Nó được tìm thấy ở KwaZulu-Natal, Transvaal và Mozambique."
pt,Edward Sels.
tr,kez şampiyon olan tek teknik direktör oldu.
de,"Der weiter flussabwärts gelegene, rund 6 Meter hohe"
de,Die Liste der höchsten Gebäude in Kaohsiung listet alle Gebäude in die zweitgrößte Stadt Taiwans - Kaohsiung nach Höhe.
tr,İnternetteki kariyerine 2017
vi,so với tờ tạp chí đứng thứ 3 U.S. News & World Report.
de,"Sie war einer der größten weiblichen Stars der Stummfilmära Hollywoods, wo sie durch ihre lange Zusammenarbeit mit D. W. Griffith bei Filmen wie Die Geburt einer Nation bekannt wurde."
fr,"Maxime Lvovitch Kontsevitch, le plus souvent orthographié Maxim Kontsevich selon la transcription anglophone, est un mathématicien russe, né le 25 août 1964 en URSS à Khimki, une ville jouxtant Moscou, en Russie."
vi,Tại Đại hội
ru,Легенда «Норрчёпинга»
zh,2023年1月1日，贝尔济勒塞克与市镇努瓦扬和阿科南合并为新市镇贝尔努瓦堡。
ko,"일부 사육자들은 엘프의 품종 표준 초안을 기초 품종에 기초해 발표했지만, 이 문서들은 서로 완전히 일치하지는 않는다."
de,Louis Ferdinand Bethmann war ein deutscher Turner und Turnfunktionär.
ko,"옴(scabies)은 무단신경문, 옴진드기과의 진드기, 옴벌레(학명 :Sarcoptes scabiei var."
de,"Die Mülheimer Schiffbrücke war eine aus Holz gefertigte, auf etwa 40"
pt,"Estende-se por uma área de 15,23 km²."
it,"James Anthony Walsh è stato un vescovo cattolico statunitense, cofondatore e primo superiore generale della Società per le missioni estere degli Stati Uniti d'America."
tr,"NGC 6455, Akrep takımyıldızında bulunan bir yıldız grubudur."
es,"El Riigikogu elegido después de estas elecciones fue el menos fragmentado en la historia de Estonia, contando sólo con cuatro partidos."
vi,Zirconi được sử dụng như là một tác nhân tạo hợp kim do khả năng cao trong chống ăn mòn của nó.
vi,"đến 6 tháng 3 năm 1966 là một chiến dịch có sự phối hợp giữa Quân đội Hoa Kỳ, Quân lực Việt Nam Cộng hòa và Quân đội Hàn Quốc."
vi,"Nguyễn Khánh tên thật là Nguyễn Ngọc Khánh, là một chính trị gia và"
pt,Foi professora de física da Universidade de Illinois em Urbana-Champaign.
ru,"Протяжённость улицы — 2,6 километра."
en,He is the first Central American to serve as bishop in the United States.
de,Eduard Heinrich Oehler war ein Schweizer Industrieller in Offenbach.
es,Ganó trece medallas en el Campeonato Europeo de Remo entre los años 1905 y 1911.
tr,"Yıldızlar aşırı küçük ve sayıca sonsuz."""
vi,"Sân cận động Busan Gudeok là một sân vận động đa năng ở Busan, Hàn Quốc."
ko,면적은 18.9km2이고 인구는 2006년
es,Es originario de Norteamérica.
ru,"Участница спортивного парада физкультурников на стадионе Динамо, г."
es,"El Nelson Mandela Bay es un estadio de fútbol de 48 000 asientos, situado en la Bahía de Nelson Mandela, en la ciudad de Puerto Elizabeth (Sudáfrica), construido para la Copa Mundial de Fútbol de 2010."
en,Evelio Menjivar-Ayala is a Salvadoran-born priest of the Catholic Church who serves as auxiliary bishop for the Archdiocese of Washington in the District of Columbia and Southern Maryland.
ar,كيث كريسماس ‏ هو مغن مؤلف بريطاني ، ولد في 13 أكتوبر 1946 .
ja,『老音楽師』（ろうおんがくし）は、フランスの画家エドゥアール・マネが1862年に制作した絵画。
ja,島根県平民。
pt,"Mesnières-en-Bray é uma comuna francesa na região administrativa da Normandia, no departamento de Sena Marítimo."
zh,该市镇总面积21.88平方公里，2009年时的人口为146人。
pt,Galeottia é um género botânico pertencente à família das orquídeas (Orchidaceae).
en,Southwest of O'Day lies the crater Seidel.
ru,Встречаются повсеместно.
ko,가리 멘드스 호드리게스(포르투갈어:
ja,ポジションはシューティングガード。
ko,급행 아부쿠마 급행선의 철도역이다.
tr,"2015 genel seçimlerinde Merkez Parti lideri olduktan sonra, bir merkez sağ koalisyon kurdu ve 29 Mayıs 2015 tarihinde Finlandiya Parlamentosu tarafından başbakan olarak atandı."
ja,リアンショ（Rianxo）はスペイン、ガリシア州、ア・コルーニャ県の自治体。
de,Tomáš Galásek [ˈtɔ̹maːʃ ˈgalaːsɛk] ist ein tschechischer Fußballtrainer.
ja,強制収容所として悪名高い内務人民委員部「ダリストロイ」の管理者。
ar,شَطّاس أو ثلاثيّ الشّويكات ، جنس نباتات عشبية برية حولية من فصيلة النجيلية . تنتشر على نطاق واسع في الموائل المعتدلة ، والمناطق شبه القطبية ، وجبال الألب وفي معظم أنحاء العالم .
pt,"Foi um ciclista belga, profissional entre 1963 e 1972, cujos maiores sucessos desportivos conseguiu-os na três Grandes Voltas ao obter 7 vitórias de etapa no Tour de France, 2 vitórias de etapa na Volta a Espanha e 1 vitória de etapa no Giro d'Italia."
en,"The J.E. Squiers House, also known as the Squiers Manor Bed and Breakfast, is a historic building located in Maquoketa, Iowa, United States."
de,Ihre Filmkarriere dauerte von 1912 bis 1987.
ja,本項では、東海道本線（とうかいどうせん）のうち、東日本旅客鉄道（JR東日本）が管轄する東京都千代田区の東京駅から静岡県熱海市の熱海駅までの区間について、主にこの区間で運行される中距離旅客列車（いわゆる湘南電車）の運転系統を中心に記述する。
fr,le 3 août 881 à Saucourt-en-Vimeu en Picardie.
it,Nel 2015 è stata utilizzata da un totale di 8 627 481 passeggeri.
ru,"Расположено в бывшем доме вице-губернатора на Революционной улице, 3."
en,"It intrudes into the northwestern edge of Mare Ingenii, and the rim is lower on that side."
tr,Komünün nüfusu 1 Ocak 2017 tarihi itibarıyla 6.793'tür.
vi,Württemberg và cũng là Công tước xứ Württemberg-Neuenstadt.
ar,خوان سباستيان إلكانو رحالة إسباني .
tr,"Guellah, Afrika ülkesi Cibuti'nin 1999 yılından bu yana devlet başkanlığı görevini yürütmektedir."
ko,"룩셈부르크의 행정 구역은 구와 주, 지방"
de,Jahrhunderts in Schweden.
en,It belongs to Vidarbha region.
vi,Zr và số nguyên tử 40.
en,The book continues to serve as a reference to the region at the time.
ko,스핑크스 고양이와 같은 보살핌 문제가 있다.
ru,"За всю историю своего участия Австрия получила 2246 баллов в финале, а в полуфинале она получила 956 баллов."
ru,что сделало её одной из первых игр
zh,美國陸軍的史崔克裝甲車也是延伸自食人魚裝甲車。
ru,Более 1000 видов.
it,Ry Russo-Young è una regista e sceneggiatrice statunitense.
en,Skalná is a town in Cheb District in the Karlovy Vary Region of the Czech Republic.
ja,栃木県足利市出身、岡山県在住。
ar,وايلد بيل مور ‏ هو عازف ساكسفون وملاكم أمريكي .
en,"Hitachi, Ltd. is a Japanese multinational conglomerate founded in 1910 and headquartered in Chiyoda, Tokyo."
ko,축치 자치구에 속해있으며 본토와 140km 떨어져 있다.
fr,Curicó est une ville et une commune du Chili chef-lieu de la province de Curicó elle-même rattachée à la région du Maule.
tr,Komünün nüfusu 31 Aralık 2018 tarihi itibarıyla 3.538'dir.
ko,"18개 구 중에서 2번째로 인구가 많은 구이자, 3번째로 주민 수입이 많은 구이다."
fr,"Georges Naturel est un homme politique français, né le 21 novembre 1955 à Nouméa (Nouvelle-Calédonie)."
ar,العلاقات البنمية الفيجية هي العلاقات الثنائية التي تجمع بين بنما وفيجي .
ru,Периодичность выхода: еженедельно по понедельникам.
pt,"Lisieux é uma pequena cidade do departamento de Calvados na região da Normandia, França."
pt,Nela morou e morreu Santa Teresinha.
de,Der Senqunyane [sɛ/ᵑǃuˈɲɑnɪ] ist ein Fluss in Lesotho.
ko,섬식 승강장 1면 2선의 구조를 갖춘 지상역이다.
tr,"Bruce Arena, tamamı Amerika Birleşik Devletleri ile olmak üzere 2002, 2005 ve 2017'de şampiyonluk yaşayarak üç"
zh,新竹縣立山崎國民小學，是位於臺灣新竹縣新豐鄉的一所縣立國民小學，鄰近新豐車站。
vi,Parnara monasi là một loài bướm ngày thuộc họ Hesperiidae.
tr,Bagnoli di Sopra İtalya'nın
ko,"또, 여름에는 많은 새가 온다."
ko,사상 최초로 올림픽에 출전하였다.
vi,phát hành.
vi,Bí thư Trung ương Đảng khóa VI.
ar,كريكفينيسا هي مدينة من مدن كرواتيا . يبلغ عدد سكانها 11122 نسمة وذلك حسب إحصائيات سنة 2011 . يبلغ ارتفاع المدينة عن سطح البحر قرابة 0 متر .
pt,José Alexander Cora é um ex jogador profissional de beisebol e atual treinador do Boston Red Sox da Major League Baseball (MLB) dos Estados Unidos.
zh,蒙克吕 是法国加尔省的一个市镇，位于该省北部偏东，属于尼姆区。
tr,"Yüzölçümü 17,64 km²'dir."
vi,Trò chơi dựa trên ba bộ phim đầu tiên trong dòng phim Alien.
vi,mô tả khoa học đầu tiên năm 1753.
pt,Aciphylla é um género botânico pertencente à família Apiaceae.
fr,"Hedensted est une commune du Danemark, située dans la région du Jutland-Central."
zh,南亚蒿（学名：）是菊科蒿属的植物。
ko,"1978년에 제한 효소의 발견과 분자유전학에 이를 응용한 공로를 인정받아 베르너 아르버, 해밀턴 O. 스미스와 함께 노벨 생리학·의학상을 수상했다."
en,To the northwest is the crater pair of Holetschek and Sierpinski.
ko,플로린 겔루 잘로미르(루마니아어:
zh,罗汉山站位于福建省福州市晋安区山北路与玄南岭路交叉口，是福州地铁1号线的车站，车站于2017年1月6日启用。
es,Fue galardonada en el Festival de Cannes con el premio al mejor guion.
vi,Chúng phân bố ở vùng sinh thái Palearctic.
es,La mesorregión del Norte de Roraima es una de las 2 mesorregiones del estado brasileño de Roraima.
pt,Vry é uma comuna francesa
ko,교전 이후 유엔 해군은 한강에서 지속적으로 작전을 수행했고 2달 후 한강 수역에서의 정찰 활동은 중공군 선박의 위협으로 중단되었다.
ja,カナダ・ケベック州モントリオール出身。
pt,"Possui uma declinação de +72° 01' 18"" e uma ascensão recta de 17 horas, 49 minutos e 46,3 segundos."
ar,الرقيب يورك ‏ هو فيلم سيرة ذاتية تم إنتاجه في الولايات المتحدة وصدر في سنة 1941 .
ko,서일문화예술고등학교(瑞逸文化藝術高等學校)는 대한민국 서울특별시 종로구 창신동에 위치한 사립 고등학교이다.
en,"Built in 1882, the 21⁄2-story brick house features elements consistent with the Queen Anne and Stick styles."
en,424 km from State capital Mumbai.
ar,متحف الفنون الجميلة في بودابست ‏ هو متحف في ميدان الأبطال ، بودابست ، المجر ، مقابل قصر الفن . تم بناؤه من قبل مخططات ألبرت شيكيدانز وفولوب هيرزوغ بأسلوب انتقائي - كلاسيكي جديد ، بين عامي 1900 و 1906 . تتكون مجموعة المتحف من الفن العالمي ، بما في ذلك جميع فترات الفن الأوروبي ، وتضم أكثر من 100000 قطعة . تتكون المجموعة من إضافات قديمة مثل تلك الموجودة في قلعة بودا وعقارات إيسترشازي وزيشي ، بالإضافة إلى تبرعات من هواة جمع العملات الفردية . تتكون مجموعة المتحف من ستة أقسام : المصرية ، العتيقة ، معرض النحت القديم ، معرض اللوحات الرئيسية القديمة ، المجموعة الحديثة ، مجموعة الرسومات . احتفلت المؤسسة بالذكرى المئوية لتأسيسها في عام 2006 .
pt,"Os Jogos Olímpicos de Inverno de 1998, oficialmente XVIII Jogos Olímpicos de Inverno, foram um evento multiesportivo celebrados em Nagano, no Japão."
ko,"자치체로 나뉜다. 룩셈부르크에는 3개 구, 12개 주와 116개 지방 자치체가 있다."
ru,Застроен преимущественно частными домами.
ru,"Орлинс — округ в штате Вермонт, США."
ja,エドゥアルド・ペトロヴィッチ・ベルジン は、ソ連の軍人、チェキスト。
tr,2023'teki son turnuvada şampiyonluk yaşayan Meksika'nın teknik direktörlüğünü Jaime Lozano yapmaktaydı.
en,David Quarrey is a British diplomat and the British Ambassador to NATO since 2022.
tr,"Gökyüzünün bu bölgesinin yıldızlar açısından zengin olması ve Herschel'in nesneyi tanımı ve konumu doğru olmadığından, hangi yıldız kümesinin NGC 6455 olarak değerlendirileceği konusunda farklı görüşler vardır."
de,Von 2015 bis 2020 war sie Mitglied der Hamburgischen Bürgerschaft und von 2015 bis 2021 Vorsitzende von Bündnis 90/Die Grünen Hamburg.
de,Die Piper TG-8 war ein in den 1940er Jahren hergestelltes US-amerikanisches Segelflugzeug zur Schulung von Lastenseglerpiloten.
ja,ピキーリョ(Piquillo)またはピミエント・デル・ピキーリョ(Pimiento del Piquillo)は、ナス科の多年草であるトウガラシ属トウガラシの栽培品種。
pt,É uma estrela variável δ Scuti.
tr,yılında Twitch üzerinden GamerBoyKarl adlı hesaptan yaptığı Roblox yayınlarıyla başlamıştır.
en,"Pablo Sebastián López is a member of the Workers' Party (Argentina), and a member of the Argentine national chamber of deputies."
pt,Os jogos se realizaram de 7 a 22 de fevereiro com a participação de 2 176 atletas de 72 nações.
ja,東京帝国大学名誉教授。
ar,بوب ماير ‏ هو لاعب كرة قاعدة أمريكي ، ولد في 4 أغسطس 1939 في توليدو في الولايات المتحدة .
ko,Villeneuve [vilnœv][*])는 스위스 보주 에이글구에 위치한 자치제이다.
ru,"Автомобили Roewe изначально были основаны на технологии, приобретенной у ныне несуществующего британского автопроизводителя MG Rover."
ar,فولوسكو هي جزء من مدينة أوباتيا ، ومكانها في خليج كفارنر غرب كرواتيا . وهي تقع في شمال أوباتيا على الطريق المؤدي إلى كاستاف ورييكا . اسمها مشتق من اسم الإله السلافي فيليس .
ru,"The New Times — еженедельный общественно-политический журнал, издававшийся в печатной версии с 1943 по 2017 год и продолжающий выходить в интернет-формате."
ru,Национальный парк Хамра является популярным среди туристов и альпинистов.
ja,大学の略称はCGU。
ko,2022년
ru,"По состоянию на 2010 год, численность населения составляла 27 231 человек."
vi,"Newsweek là tạp chí tin tức hàng tuần lớn thứ nhất ở Hoa Kỳ, cùng với Tạp chí Time về số lượng"
zh,此頻道於1996年3月開播，是CNBC頻道的歐洲分公司，母公司為NBC環球集團。
ru,"Свен Аксбом — шведский футболист, нападающий."
tr,"yılında çıkan ve Londra'nın % 75'ini yakan Büyük Yangında zarar görmemiş olan semtte, 10 yıl sonra bir yangın çıkmış ve 17 saat içinde kenti kül etmiştir."
ja,スーザン・マグダレイン・ボイル は、イギリス、スコットランド出身の歌手。
ar,جيرهارد هاجر ‏ هو قاضي ، وسياسي ، وكاتب نمساوي ، ولد في فيينا ، هو عضوٌ في حزب الحرية النمساوي .
de,Orange River heißt.
ko,《Miles Ahead》는 1957년 10월 컬럼비아 레코드에 의해 발매된 미국의 재즈 트럼펫 연주자 마일스 데이비스의 스튜디오 음반이다.
tr,"Renato Longo, İtalyan arazi-yol bisikletçisi."
vi,tả khoa học đầu tiên năm 1893.
de,Herb Sutter ist ein US-amerikanischer Informatiker.
vi,"""Sparks Fly"" là một bài hát của ca sĩ kiêm sáng tác âm nhạc người Mỹ Taylor Swift, nằm trong album thứ ba của cô, Speak Now (2010)."
de,Sie löste eine zuvor zwischen Mülheim am Rhein und dem zu Longerich gehörenden Mülheimer Häuschen an gleicher Stelle verkehrende Fährverbindung ab.
de,"Er verfasste den Text der türkischen Nationalhymne, den „Unabhängigkeitsmarsch“ İstiklâl Marşı von Edgar Manas."
it,Diversi autori includono in questa sottofamiglia anche le Polyommatinae e le Theclinae.
de,"Er ist ein rechter Nebenfluss des Senqu, der in Südafrika Oranje bzw."
ko,오시라카와역(일본어: 大白川駅)은 일본 니가타현 우오누마시에 위치한 동일본 여객철도 다다미 선의 철도역이다.
de,Der Mittelfeldspieler war brasilianischer Nationalspieler.
ar,ديفيد كشدان ‏ مواليد 20 يونيو 1946 في موسكو ، عالم رياضياتي إسرائيلي روسي . معروف يعمله على نظرية التمثيل في علم الجبر ، وحصل على جائزة إسرائيل في الرياضيات وعلم الحاسوب .
it,"Vagner José Dias Gonçalves, noto semplicemente come Vagner Gonçalves, è un calciatore capoverdiano, attaccante del Radomiak Radom e della nazionale capoverdiana."
pt,"Ele foi campeão da World Series como jogador dos Red Sox em 2007, como técnico assistente do Houston Astros em 2017, e como treinador do Red Sox em 2018."
zh,CNBC歐洲台 是歐洲的財經新聞台之一。
tr,"Juha Petri Sipilä, Finlandiya'nın eski başbakanı Fin politikacı ve iş insanı."
pt,Beta Cassiopeiae é uma estrela na direção da Cassiopeia.
pt,O município de Jackson é um município localizado no condado de Muskingum no estado estadounidense de Ohio.
tr,Sanatçı çizim dışında animasyonlarda yapmıştır.
tr,"Karl Jacobs, bilinen adıyla GamerBoyKarl, Amerikalı bir Twitch yayıncısı ve YouTuber'dır."
ko,호바라역(일본어: 保原駅 )은 일본
de,Die Cascadele Beușniței sind eine Kaskade von Wasserfällen am Fluss Beu oberhalb des Sees Ochiul Beiului
vi,Raphia frater là một loài bướm đêm trong họ Noctuidae.
en,"The architectural and historic significance of this house is attributed to its being ""a well-preserved example of late nineteenth century domestic architecture in Maquoketa's most prominent residential neighborhood and for its association with the life and career of James Emery Squiers, a prominent local businessman."""
vi,Anemone hortensis là một loài thực vật có hoa trong họ Mao lương.
tr,"Nabız (İng:Pulse), Ölülerin canlanıp internet ağı"
ru,Феодосий Глушицкий — преподобный Русской православной церкви; жил в XV веке.
ja,ラトビア人。
ru,Asphalt Urban GT — видеоигра в жанре аркадной гонки для портативных игровых консолей Nokia N-Gage и Nintendo DS.
ja,大粛清で自らも逮捕・銃殺された。
pt,"Considerando sua distância de 54 anos-luz em relação à Terra, sua magnitude absoluta é igual a 1.17."
it,"Stadelhofen è un comune tedesco di 1.253 abitanti, situato nel land della Baviera."
vi,Aloe dichotoma là một loài thực vật có hoa trong họ Măng tây.
vi,Sân hiện đang được sử dụng chủ yếu cho các trận đấu bóng đá.
vi,Cả hai tạp chí này đều lớn hơn nhiều
tr,"Nefret, senaryo ve yönetmenliğini Osman F. Seden'in, yapımcılığı Kadri Yurdatap'ın üstlendiği 1984 yapımı Türk filmi."
en,"Zegge is a village located in the municipality of Rucphen, North Brabant in the Netherlands."
vi,"Thông thường, khi nói đến bóng đá,"
vi,Ông từng giữ chức vụ Phó Chủ tịch Hội đồng Bộ trưởng rồi Phó Thủ tướng trong Chính phủ nước Cộng hòa Xã hội
ar,محمد السلمان هو مخرج سينمائي سعودي وكاتب سيناريو ومنتج . هو فنان نشط في صناعة الأفلام الناشئة السعودية . وقد عرف بأفلامه القصيرة غير التقليدية .
vi,nhưng cô chỉ đưa nó vào album phòng thu thứ ba của mình sau khi nhận được những lời đề nghị của fan về việc phát hành bài hát.
ru,Ивановский райо́н — административно-территориальная единица (район) и упразднённое муниципальное образование в Амурской области России.
tr,"Nüfusu, 30 Haziran 2005 itibarıyla 385 olarak tespit edilmiştir."
ru,Название района происходит от древней башни Гулоу.
de,Der neue Rheinübergang wurde
ru,"Австрия на конкурсе песни «Евровидение» выступала 52 раза, практически с самого момента его основания."
ja,"ガリシア統計局によれば、2010年の人口は11,826人 、人口密度は201.1人/km2、面積は58.8km2。"
vi,tinh khiết nhờ clo.
zh,这座保存完好的中世纪的瑞巖城堡与已于2003年12月的地震中摧毁的巴姆古城極其相似。
en,"Cabarita is located 16 kilometres west of the Sydney central business district, in the local government area of the City of Canada Bay."
fr,Larinomesius est un sous-genre d'insectes coléoptères de la famille des Curculionidae classé dans la tribu des Lixini.
zh,劇中的部分劇情改編自由柯南·道爾撰寫的福爾摩斯小說《五枚橘籽》（1892年）、《布魯士-巴丁登計劃探案》（1895年）、《最後一案》（1893年）和《波希米亞醜聞》（1891年）等，講述需在有限時間內解決多道由吉姆·莫里亞蒂設計的難題，否則不相干的人質會被殺害。
de,im Südwesten von Rumänien.
es,"Thomas Robert Cech es un químico, bioquímico y profesor universitario estadounidense galardonado con el Premio Nobel de Química en 1989."
ru,"Алексей Борисович Горбашов — советский и российский музыкант, гитарист."
fr,"Elle comptait 46 747 habitants en 2019, pour une superficie de 551,47 km2."
ru,На 2012 год население коммуны составляло 7663 человека.
ru,"Она была разработана компанией Gameloft и выпущена в 2004 году,"
ko,"다니엘 네이선스(영어: Daniel Nathans, 1928년 10월 30일 ~ 1999년 11월 16일)는 미국의 미생물학자이다."
vi,Mỹ vào ngày 18 tháng 7 năm 2011.
tr,"Dreyer'e göre ise NGC 6455, ""kısmen çözülmüş, son derece küçük yıldızlara ek olarak bulutsu olan bir kümedir""."
es,"Las elecciones parlamentarias de Estonia de 2011 se celebraron en este país el 6 de marzo, siendo las primeras en Europa en tener una amplia intervención del voto electrónico, el cual se pudo efectuar desde el 24 de febrero hasta el 6 de marzo."
vi,Harpalejeunea ancistrodes là một loài Rêu trong họ Lejeuneaceae.
fr,"Ce logiciel gère agenda, courriel, tâches et notes."
es,"Kufranyá (en árabe, كفرنجة es una ciudad en la gobernación de Ajlun, en Jordania."
it,"Hadrawi, pseudonimo di Mohamed Ibrahim Warsame, è stato un poeta e cantautore somalo."
ja,"ボヴィーノ は、イタリア共和国プッリャ州フォッジャ県にある、人口約3,200人の基礎自治体（コムーネ）。"
ru,Официально образован в 1792 году.
ko,2012년 하계 올림픽에 참가하여 단체전에서 은메달을 획득했다.
de,Mehmet Âkif Ersoy war ein osmanischer Dichter.
en,"Cabarita is a bayside suburb in the Inner West of Sydney, in the state of New South Wales, Australia."
vi,Newsweek là một trong những tạp chí tuần san uy tín lớn nhất thế giới của
ja,NBAのサクラメント・キングスに所属している。
it,"Rex è un census-designated place (CDP) degli Stati Uniti d'America, situato nello stato della Carolina del Nord, nella contea di Robeson."
vi,"mạc và bế mạc, cũng như các nội dung thi đấu của môn điền kinh và các trận đấu môn bóng đá."
ar,دريا دي ماتو هي ممثلة أميركية حائزة على جائزة إيمي ، معروفة بأدورها كدور أدرينانا لا سرفا على تلفاز هوم بكس أوفيس في مسلسل السوبرانوز ، وكأخت جوي ترابياني جينا في مسلسل هيئة الإذاعة الوطنية جوي .
ja,"クレメーノ は、イタリア共和国ロンバルディア州レッコ県にある、人口約1,600人の基礎自治体（コムーネ）。"
fr,"Le terme est habituellement associé à l'astronomie, en référence à la vision des corps célestes tels que les étoiles, la Lune et les planètes, qui deviennent visibles par nuit claire après le coucher du Soleil."
de,Der größte
tr,yılında çekilen ve bir japon filmi olan yönetmenliğini ve senaryosunu Kiyoshi Kurosawa'nın yaptığı Kairo filminden uyarlanmıştır.
ko,첸트랄반 철도 회사가 소유한 루체른-슈탄스-엥겔베르크선에 있다.
ko,총 62편으로 구성된 다섯 시즌으로 종영됐다.
pt,3 3: 25.
es,Los 101 miembros recién elegidos del 12º Riigikogu se reunieron en el castillo de Toompea en Tallin diez días después de las elecciones.
en,"The company is active in a range of industries, including digital systems, power and renewable energy solutions, railway systems, healthcare products, and financial systems."
vi,từ Speak Now.
tr,"Güzel, 2020 Yaz Olimpiyat Oyunları'nda ülkesi adına yarışmıştır."
es,El helecho de espada occidental es una planta de la familia Dryopteridaceae.
tr,Ürettiği animasyon ve çizgi romanlarda Jayzey Lynch ismini kullanmıştır.
fr,"Chandler est un logiciel d'organisateur personnel et de groupware fourni sous licence libre, auparavant disponible sous une licence publique générale GNU, avant d’être relicencié sous une Licence Apache en août 2006."
de,"Meredith Miller ist eine US-amerikanische Radrennfahrerin, die auf der Straße und bei Querfeldein-Rennen aktiv ist."
ru,Ха́мра — национальный парк на северо-западе лена Евлеборг в Швеции.
vi,Suffolk đã tham gia hoạt động trong suốt Chiến tranh Thế giới thứ hai cho đến khi được tháo dỡ vào năm 1948.
en,Its county seat and largest village is Gallipolis.
tr,"Breanna Mackenzie Stewart, uzun forvet pozisyonunda oynayan Amerikalı profesyonel basketbolcu."
en,"Viewed from the four other villages in the municipality of Rucphen, Zegge is located on the other side of the A58 motorway."
vi,Thelephoraceae là một họ nấm trong bộ Thelephorales.
vi,Những môn thể thao thường gọi là bóng đá bao gồm bóng đá đồng hội ; Bóng bầu dục Mỹ; bóng bầu dục Úc; bóng bầu dục liên hiệp và bóng bầu dục liên minh; và bóng đá Gaelic.
ja,"ガリシア統計局によると2013年の人口は4,141人。"
ja,想田 和弘 は、日本の映画監督・脚本家・演出家・ジャーナリスト。
ja,小型で肉厚の赤ピーマンであり、辛味はなく甘味を持つ。
ko,"둥구(중국어: 東區, 병음: Dōng Qū, Eastern District)는 홍콩의 18개 구의 하나이다."
de,Âkif Ersoy gilt als der Wegbereiter volkstümlicher türkischer Gedichte des 20.
ko,공연은 VHS를 통해서도 공개되었다.
en,The book provides a rare insight into life in Siberia during the winter of 1918-19 under the rule of the Cossacks at a time when the Bolsheviks were rising and helped shape US policy in Russia at the time.
ko,엘프(Elf) 또는 엘프 스핑크스(Elf Sphynx)는 털이 거의 없는 품종으로 귀가 뒤로 휘어져 있다.
ko,아부쿠마
fr,le ciel tel qu'on le voit la nuit.
vi,"Tại Thế vận hội Mùa hè 1988, sân vận động đã tổ chức một số trận đấu môn bóng đá."
vi,"Được sản xuất bởi Swift và cộng sự lâu năm của mình, Nathan Chapman, ""Sparks Fly"" là một bản nhịp độ nhanh kết hợp giữa những phong cách âm nhạc của country, pop rock và arena rock, trong đó sử dụng nhiều nhạc cụ như guitar điện giàu năng lượng, tiếng violin tinh tế và tiếng trống bùng nổ, với nội dung đề cập đến việc phải lòng một ai đó nhưng có thể không thích hợp để làm điều đó."
tr,Belediye Başkanlığı Hauke Vollstedt tarafından yürütülmektedir.
es,Rolf-Dieter Amend fue un deportista de la RDA que compitió en piragüismo en la modalidad de eslalon.
